                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.80128,                0.86264,                  1.068,                0.97724,                0.96292,                 0.9892,                 0.8852,                0.49352,                0.34796,                0.84803,              0.0094753,              0.0094753,              0.0094753
                     56,                0.80462,                0.87482,                 1.0685,                 0.9654,                0.97528,                0.98922,                0.88246,                0.49484,                0.34682,                0.85094,              0.0094654,              0.0094654,              0.0094654
                     57,                0.79423,                0.85668,                 1.0671,                0.97233,                 0.9762,                0.99027,                0.88704,                0.49132,                0.34225,                0.84557,              0.0094555,              0.0094555,              0.0094555
                     58,                0.79795,                0.85637,                 1.0614,                0.97242,                0.97096,                0.98767,                0.88807,                0.49241,                0.33904,                0.84559,              0.0094456,              0.0094456,              0.0094456
                     59,                0.79716,                0.84154,                  1.066,                0.96963,                0.97891,                0.98828,                0.88807,                 0.4838,                 0.3314,                0.84475,              0.0094357,              0.0094357,              0.0094357
                     60,                0.79461,                0.83654,                   1.06,                0.97558,                 0.9733,                0.98971,                0.88656,                 0.4921,                0.33359,                0.84396,              0.0094258,              0.0094258,              0.0094258
                     61,                0.79195,                0.83463,                 1.0599,                0.97168,                0.97525,                0.98983,                0.88296,                0.50058,                 0.3361,                0.84511,              0.0094159,              0.0094159,              0.0094159
                     62,                0.79343,                0.83954,                 1.0602,                0.96795,                0.97413,                0.98917,                0.88744,                0.48664,                0.33976,                0.84342,               0.009406,               0.009406,               0.009406
                     63,                0.78313,                0.82406,                 1.0594,                 0.9673,                0.97349,                 0.9891,                0.88907,                0.48775,                0.34284,                0.84698,              0.0093961,              0.0093961,              0.0093961
                     64,                0.79506,                0.84115,                 1.0638,                0.97452,                 0.9745,                0.99056,                0.89592,                0.47202,                0.33514,                0.84063,              0.0093862,              0.0093862,              0.0093862
                     65,                0.79436,                0.83968,                 1.0616,                0.97547,                 0.9775,                0.99086,                0.89434,                0.47921,                0.33413,                0.83987,              0.0093763,              0.0093763,              0.0093763
                     66,                0.79007,                0.83433,                 1.0652,                0.97909,                0.97898,                0.99101,                0.88977,                0.48374,                 0.3281,                0.84034,              0.0093664,              0.0093664,              0.0093664
                     67,                0.78753,                0.82181,                 1.0592,                0.97125,                 0.9816,                0.99055,                0.88749,                0.49345,                0.33195,                0.84691,              0.0093565,              0.0093565,              0.0093565
                     68,                0.78405,                0.82176,                 1.0561,                0.97225,                0.97707,                0.98884,                0.88564,                0.49341,                0.33002,                0.84447,              0.0093466,              0.0093466,              0.0093466
                     69,                0.78027,                0.81587,                 1.0546,                0.97578,                0.98262,                0.99125,                0.89915,                0.47156,                0.31709,                0.83678,              0.0093367,              0.0093367,              0.0093367
                     70,                0.78587,                0.81636,                 1.0562,                0.97993,                0.97357,                0.99083,                0.89535,                0.47663,                 0.3191,                0.83889,              0.0093268,              0.0093268,              0.0093268
                     71,                0.78772,                0.81992,                 1.0596,                0.97115,                0.97803,                0.98969,                0.89527,                0.47862,                0.31989,                0.84069,              0.0093169,              0.0093169,              0.0093169
                     72,                0.78209,                0.82108,                 1.0582,                0.97531,                0.98092,                0.99186,                0.89834,                0.47454,                0.31532,                0.83954,               0.009307,               0.009307,               0.009307
                     73,                0.78534,                0.81447,                 1.0609,                0.98014,                0.97674,                0.99166,                0.89365,                0.48369,                0.31586,                0.84104,              0.0092971,              0.0092971,              0.0092971
                     74,                0.77422,                0.80211,                 1.0525,                0.96833,                 0.9836,                0.99025,                0.89601,                0.48254,                0.31843,                0.84102,              0.0092872,              0.0092872,              0.0092872
                     75,                0.78911,                0.80564,                 1.0594,                0.97547,                0.97942,                0.99069,                0.89338,                0.47863,                0.31669,                 0.8363,              0.0092773,              0.0092773,              0.0092773
                     76,                0.78209,                0.82077,                 1.0583,                0.97566,                0.98229,                0.99143,                0.90143,                0.46669,                  0.309,                0.83881,              0.0092674,              0.0092674,              0.0092674
                     77,                 0.7773,                 0.7994,                 1.0533,                0.98054,                0.98263,                0.99122,                0.89919,                0.47446,                0.31166,                0.83685,              0.0092575,              0.0092575,              0.0092575
                     78,                0.77202,                0.79302,                 1.0496,                0.97975,                0.97785,                0.99039,                0.89539,                0.48109,                0.31903,                0.83731,              0.0092476,              0.0092476,              0.0092476
                     79,                0.77465,                0.79464,                 1.0549,                0.97309,                0.98286,                 0.9895,                0.89552,                0.47284,                0.31778,                0.83847,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.7705,                 0.8039,                  1.053,                0.97588,                0.98373,                0.99083,                 0.8995,                0.46957,                0.31307,                0.83832,              0.0092278,              0.0092278,              0.0092278
                     81,                0.77935,                 0.7963,                 1.0581,                0.97388,                0.98376,                0.99013,                0.89453,                0.47265,                0.31129,                0.83563,              0.0092179,              0.0092179,              0.0092179
                     82,                0.76975,                0.78271,                 1.0498,                0.97556,                 0.9831,                 0.9904,                0.90401,                0.45779,                0.30582,                0.83323,               0.009208,               0.009208,               0.009208
                     83,                0.77858,                0.79851,                 1.0557,                0.97626,                0.98234,                0.99168,                0.90237,                0.46591,                0.30434,                0.83621,              0.0091981,              0.0091981,              0.0091981
                     84,                0.76768,                0.78638,                 1.0503,                0.98159,                0.97747,                0.99139,                0.90057,                0.47057,                0.30776,                0.83573,              0.0091882,              0.0091882,              0.0091882
                     85,                0.76772,                0.77624,                 1.0485,                0.98127,                0.97788,                0.99025,                0.89767,                0.47377,                0.31242,                0.83681,              0.0091783,              0.0091783,              0.0091783
                     86,                0.77646,                0.78955,                 1.0535,                0.97915,                0.98109,                0.99063,                0.89824,                0.46788,                0.30406,                0.83527,              0.0091684,              0.0091684,              0.0091684
                     87,                0.77208,                0.78294,                 1.0537,                0.97986,                0.98117,                0.99037,                 0.9016,                0.46457,                0.30244,                0.83661,              0.0091585,              0.0091585,              0.0091585
                     88,                0.77578,                0.78957,                 1.0563,                0.97495,                0.98474,                0.99013,                0.90137,                0.46715,                0.30496,                0.83539,              0.0091486,              0.0091486,              0.0091486
                     89,                0.76503,                0.78313,                 1.0456,                0.98007,                0.97893,                0.99051,                0.89871,                0.46467,                0.30524,                0.83238,              0.0091387,              0.0091387,              0.0091387
                     90,                0.76798,                0.77852,                 1.0488,                0.97889,                0.98195,                0.99057,                0.90114,                0.47079,                0.29619,                0.83515,              0.0091288,              0.0091288,              0.0091288
                     91,                0.76214,                 0.7715,                 1.0455,                0.98213,                0.98464,                0.99216,                0.90089,                0.46361,                0.29869,                0.83151,              0.0091189,              0.0091189,              0.0091189
                     92,                0.77964,                 0.7869,                 1.0568,                0.98267,                 0.9849,                0.99162,                0.90147,                0.46485,                0.30201,                0.83283,               0.009109,               0.009109,               0.009109
                     93,                0.76738,                  0.772,                 1.0467,                0.98187,                0.98368,                0.99239,                0.90314,                0.45704,                0.29705,                0.83004,              0.0090991,              0.0090991,              0.0090991
                     94,                0.77148,                0.78099,                 1.0524,                  0.982,                0.98248,                0.99152,                0.90289,                 0.4566,                0.30067,                0.83087,              0.0090892,              0.0090892,              0.0090892
                     95,                0.77376,                0.78386,                 1.0494,                0.97645,                0.98427,                0.99205,                0.90169,                0.45831,                0.29624,                0.82772,              0.0090793,              0.0090793,              0.0090793
                     96,                 0.7592,                 0.7554,                 1.0509,                 0.9844,                0.98228,                0.99199,                0.90754,                0.45719,                0.29067,                0.83001,              0.0090694,              0.0090694,              0.0090694
                     97,                0.76266,                0.76848,                 1.0473,                0.98332,                0.98014,                0.99126,                0.90126,                0.46666,                0.29301,                 0.8313,              0.0090595,              0.0090595,              0.0090595
                     98,                 0.7615,                0.77287,                 1.0474,                0.98414,                0.97905,                 0.9912,                0.90739,                0.45301,                0.29052,                   0.83,              0.0090496,              0.0090496,              0.0090496
                     99,                0.75928,                0.76326,                 1.0424,                0.98289,                 0.9845,                0.99118,                0.90751,                 0.4564,                0.28706,                0.82976,              0.0090397,              0.0090397,              0.0090397
                    100,                0.76463,                0.75288,                 1.0464,                0.98384,                0.98323,                0.99086,                0.90714,                0.45674,                 0.2898,                0.83006,              0.0090298,              0.0090298,              0.0090298
                    101,                0.75459,                0.75483,                 1.0417,                0.98064,                0.98361,                0.99145,                0.90735,                 0.4592,                0.29143,                0.83164,              0.0090199,              0.0090199,              0.0090199
                    102,                0.76274,                 0.7563,                 1.0477,                0.98282,                0.98685,                0.99135,                 0.9059,                0.46386,                 0.2909,                 0.8337,                0.00901,                0.00901,                0.00901
                    103,                 0.7628,                0.77101,                 1.0477,                0.98094,                0.98776,                 0.9918,                0.90744,                0.45194,                0.28747,                0.82701,              0.0090001,              0.0090001,              0.0090001
                    104,                0.76413,                0.76325,                 1.0471,                0.97773,                0.98979,                 0.9925,                0.90834,                0.45812,                0.28635,                0.82942,              0.0089902,              0.0089902,              0.0089902
                    105,                0.74987,                0.75141,                 1.0407,                0.98378,                0.97802,                0.99186,                0.91094,                0.44929,                0.28566,                0.82661,              0.0089803,              0.0089803,              0.0089803
                    106,                0.76923,                0.77532,                 1.0465,                0.98174,                0.98435,                0.99167,                   0.91,                0.45424,                0.28489,                0.82814,              0.0089704,              0.0089704,              0.0089704
                    107,                0.76363,                0.74965,                 1.0454,                0.97789,                0.98592,                0.99203,                0.91068,                0.44495,                0.28526,                0.82557,              0.0089605,              0.0089605,              0.0089605
                    108,                0.75932,                0.76295,                 1.0467,                0.97993,                0.98728,                0.99157,                0.90842,                0.44879,                0.28558,                0.82753,              0.0089506,              0.0089506,              0.0089506
                    109,                0.75362,                0.75653,                 1.0446,                0.98549,                0.98382,                0.99166,                0.91107,                0.44312,                0.28261,                0.82361,              0.0089407,              0.0089407,              0.0089407
                    110,                0.75549,                0.75934,                 1.0464,                0.98522,                0.98638,                0.99216,                0.90983,                0.44229,                0.28151,                0.82368,              0.0089308,              0.0089308,              0.0089308
                    111,                0.75087,                  0.749,                 1.0416,                 0.9846,                0.98435,                0.99166,                 0.9121,                0.44073,                0.28008,                0.82512,              0.0089209,              0.0089209,              0.0089209
                    112,                0.75903,                0.75746,                 1.0459,                0.98389,                0.98355,                0.99237,                0.91175,                0.44784,                0.27585,                0.82423,               0.008911,               0.008911,               0.008911
